item_id,rest_name,item_name,category,serving_size,calories,fat,sat_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein,allergens
98,Chick-Fil-A,Cobb Salad w/ Nuggets,salad,411g,830,60,13,0,230,2220,31,5,8,42,
99,Chick-Fil-A,Cobb Salad w/ Spicy Grilled Filet (Cold),salad,383g,690,51,11,0,210,1740,23,6,8,34,
100,Chick-Fil-A,Cobb Salad w/ Grilled Nuggets,salad,392g,710,52,11,0,230,1450,22,6,8,40,
101,Chick-Fil-A,Cobb Salad w/ Chick-fil-A Chick-n-Strips®,salad,434g,890,63,13,0,220,1880,37,5,9,44,
102,Chick-Fil-A,Cobb Salad w/ Grilled Filet (Cold),salad,383g,690,50,11,0,220,1390,22,5,8,36,
103,Chick-Fil-A,Cobb Salad w/ Chick-fil-A® Filet,salad,413g,830,60,13,0,215,2130,33,5,9,39,
104,Chick-Fil-A,Cobb Salad w/ Spicy Filet,salad,418g,860,62,13,0,210,2400,37,6,9,38,
105,Chick-Fil-A,Cobb Salad w/ Grilled Filet (Warm),salad,382g,690,50,11,0,215,1380,22,5,8,36,
106,Chick-Fil-A,Cobb Salad w/ No Chicken,salad,298g,580,49,11,0,145,1010,21,5,7,15,
107,Chick-Fil-A,Spicy Southwest Salad,salad,424g,680,49,10,0,100,1570,27,7,7,33,
108,Chick-Fil-A,Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),salad,424g,680,49,10,0,100,1570,27,7,7,33,
109,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Filet (Cold),salad,424g,680,48,9.5,0,110,1220,26,7,7,35,
110,Chick-Fil-A,Spicy Southwest Salad w/ Nuggets,salad,448g,800,56,11,0,120,2050,35,7,7,39,
111,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Nuggets,salad,434g,700,49,10,0,125,1290,26,7,7,39,
112,Chick-Fil-A,Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips®,salad,475g,880,60,12,0,115,1710,41,7,8,43,
113,Chick-Fil-A,Spicy Southwest Salad w/ Chick-fil-A® Filet,salad,450g,800,56,11,0,110,1950,37,7,8,36,
114,Chick-Fil-A,Spicy Southwest Salad w/ Spicy Filet,salad,459g,850,60,12,0,105,2230,41,8,8,37,
115,Chick-Fil-A,Spicy Southwest Salad w/ Grilled Filet (Warm),salad,423g,680,48,9.5,0,110,1220,26,7,7,35,
116,Chick-Fil-A,Spicy Southwest Salad w/ No Chicken,salad,339g,570,47,9.5,0,35,850,25,7,6,14,
117,Chick-Fil-A,Market Salad,salad,326g,550,31,6,0,80,1010,42,5,26,28,
118,Chick-Fil-A,Market Salad w/ Grilled Filet (Cold),salad,326g,550,31,6,0,80,1010,42,5,26,28,
119,Chick-Fil-A,Market Salad w/ Spicy Grilled Filet (Cold),salad,326g,540,31,6,0,70,1360,42,6,27,26,
120,Chick-Fil-A,Market Salad w/ Chick-fil-A Chick-n-Strips®,salad,377g,750,43,8,0,85,1500,57,5,27,36,
121,Chick-Fil-A,Market Salad w/ Nuggets,salad,354g,700,40,8,0,90,1850,51,5,27,34,
122,Chick-Fil-A,Market Salad w/ Grilled Nuggets,salad,335g,570,32,6,0,95,1080,41,6,27,32,
123,Chick-Fil-A,Market Salad w/ Chick-fil-A® Filet,salad,356g,690,41,8,0,80,1760,53,5,27,31,
124,Chick-Fil-A,Market Salad w/ Spicy Filet,salad,361g,720,42,8,0,75,2020,56,6,27,30,
125,Chick-Fil-A,Market Salad w/ Grilled Filet (Warm),salad,325g,550,31,6,0,80,1010,42,5,26,28,
126,Chick-Fil-A,Market Salad w/ No Chicken,salad,241g,440,29,5.5,0,10,640,40,5,26,7,
127,Chick-Fil-A,Chick-fil-A Waffle Potato Fries®,salad,125g,420,24,4,0,0,240,45,5,1,5,
128,Chick-Fil-A,Small Chick-fil-A Waffle Potato Fries®,sides,96g,320,19,3,0,0,190,35,4,1,4,
129,Chick-Fil-A,Medium Chick-fil-A Waffle Potato Fries®,sides,125g,420,24,4,0,0,240,45,5,1,5,
130,Chick-Fil-A,Large Chick-fil-A Waffle Potato Fries®,sides,179g,600,35,5,0,0,340,65,7,1,7,
131,Chick-Fil-A,Fruit Cup,sides,125g,70,0,0,0,0,0,16,2,12,1,
132,Chick-Fil-A,Small Fruit Cup,sides,107g,60,0,0,0,0,0,14,2,11,1,
133,Chick-Fil-A,Medium Fruit Cup,sides,125g,70,0,0,0,0,0,16,2,12,1,
134,Chick-Fil-A,Large Fruit Cup,sides,215g,120,0,0,0,0,0,28,4,21,1,
135,Chick-Fil-A,Side Salad,sides,166g,470,42,8,0,35,700,14,4,5,6,
136,Chick-Fil-A,Mac & Cheese,sides,227g,450,29,16,0,70,1190,28,3,3,20,
137,Chick-Fil-A,Small Mac & Cheese,sides,136g,270,17,10,0,40,710,17,2,2,12,
138,Chick-Fil-A,Medium Mac & Cheese,sides,227g,450,29,16,0,70,1190,28,3,3,20,
139,Chick-Fil-A,Large Mac & Cheese,sides,425g,840,53,30,0.5,130,2230,53,5,6,38,
140,Chick-Fil-A,Chicken Noodle Soup,sides,233g,170,4,1,0,30,1220,25,1,1,10,
141,Chick-Fil-A,Cup of Chicken Noodle Soup,sides,233g,170,4,1,0,30,1220,25,1,1,10,
142,Chick-Fil-A,Bowl of Chicken Noodle Soup,sides,422g,280,6,2,0,55,2060,38,2,2,17,
143,Chick-Fil-A,Kale Crunch Side,sides,112g,170,12,1.5,0,0,250,13,4,8,4,
144,Chick-Fil-A,Berry Parfait,sides,206g,270,9,3.5,0,20,85,35,1,26,13,
145,Chick-Fil-A,Berry Parfait w/ Granola,sides,206g,270,9,3.5,0,20,85,35,1,26,13,
146,Chick-Fil-A,Berry Parfait w/ Cookie Crumbs,sides,195g,240,8,3.5,0,20,85,31,1,25,12,
147,Chick-Fil-A,Original Flavor Waffle Potato Chips,sides,43g,220,13,3.5,0,0,250,25,2,0,3,
148,Chick-Fil-A,Buddy Fruits® Apple Sauce,other,90g,45,0,0,0,0,0,12,1,8,0,
149,Chick-Fil-A,5 Ct Nuggets Kid's Meal,other,71g,160,7,1.5,0,50,760,7,0,1,17,
150,Chick-Fil-A,5 ct Chick-fil-A® Nuggets,other,71g,160,7,1.5,0,50,760,7,0,1,17,
151,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
152,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
153,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
154,Chick-Fil-A,2 Ct Chick-n-Strips® Kid's Meal,other,91g,200,9,2,0,50,580,11,0,1,19,
155,Chick-Fil-A,2 ct Chick-fil-A Chick-n-Strips®,other,91g,200,9,2,0,50,580,11,0,1,19,
156,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
157,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
158,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
159,Chick-Fil-A,5 Ct Grilled Nuggets Kid's Meal,other,59g,80,2,0,0,55,270,1,0,0,16,
160,Chick-Fil-A,5 ct Grilled Nuggets,other,59g,80,2,0,0,55,270,1,0,0,16,
161,Chick-Fil-A,Kid's Meal Sides,other,0g,0,0,0,0,0,0,0,0,0,0,
162,Chick-Fil-A,Meal Beverages,other,0g,0,0,0,0,0,0,0,0,0,0,
163,Chick-Fil-A,Prize,other,0g,0,0,0,0,0,0,0,0,0,0,
164,Chick-Fil-A,Cherry Berry Frosted Lemonade,drink,376g,370,7,4.5,0,25,140,71,0,64,7,
165,Chick-Fil-A,Cherry Berry Frosted Lemonade,drink,376g,370,7,4.5,0,25,140,71,0,64,7,
166,Chick-Fil-A,Cherry Berry Frosted Diet Lemonade,drink,376g,300,7,4.5,0,25,140,55,0,48,7,
167,Chick-Fil-A,Frosted Lemonade,drink,383g,350,7,4.5,0,25,135,67,0,65,7,
168,Chick-Fil-A,Frosted Lemonade,drink,383g,350,7,4.5,0,25,135,67,0,65,7,
169,Chick-Fil-A,Frosted Lemonade w/ Diet Lemonade,drink,383g,280,7,4.5,0,25,140,50,0,48,7,
170,Chick-Fil-A,Frosted Coffee,drink,374g,260,7,4.5,0,25,140,45,0,44,7,
171,Chick-Fil-A,Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
172,Chick-Fil-A,Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
173,Chick-Fil-A,6 pack Chocolate Chunk Cookie,treat,78g,370,17,9,0,15,230,49,3,26,5,
174,Chick-Fil-A,Chocolate Fudge Brownie,treat,85g,370,21,8,0,65,140,47,2,35,4,
175,Chick-Fil-A,Cookies & Cream Milkshake,treat,409g,630,25,15,1,85,430,91,1,84,13,
176,Chick-Fil-A,Chocolate Milkshake,treat,409g,600,22,13,1,85,360,93,1,90,12,
177,Chick-Fil-A,Strawberry Milkshake,treat,409g,560,18,11,0.5,70,370,92,1,86,10,
178,Chick-Fil-A,Vanilla Milkshake,treat,409g,580,23,15,1,90,390,82,1,80,13,
179,Chick-Fil-A,Chick-fil-A® Icedream® Cone,treat,135g,180,4,2.5,0,15,90,32,0,25,4,
180,Chick-Fil-A,Chick-fil-A® Icedream® Cup,treat,122g,140,3.5,2.5,0,15,75,24,0,24,4,
181,Chick-Fil-A,Cherry Berry & Sprite®,drink,683g,200,0,0,0,0,85,52,0,44,0,
182,Chick-Fil-A,Cherry Berry Beverages,drink,655g,230,0,0,0,0,0,58,0,47,0,
