restaurant,category,item,calories,protein,carbs,fat
Chick-fil-A,salad,Cobb Salad w/ No Chicken (298g),580.0,15.0,21.0,49.0
Chick-fil-A,salad,Spicy Southwest Salad (424g),680.0,33.0,27.0,49.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Spicy Grilled Filet (Cold) (424g),680.0,33.0,27.0,49.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Grilled Filet (Cold) (424g),680.0,35.0,26.0,48.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Nuggets (448g),800.0,39.0,35.0,56.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Grilled Nuggets (434g),700.0,39.0,26.0,49.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Chick-fil-A Chick-n-Strips® (475g),880.0,43.0,41.0,60.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Chick-fil-A® Filet (450g),800.0,36.0,37.0,56.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Spicy Filet (459g),850.0,37.0,41.0,60.0
Chick-fil-A,salad,Spicy Southwest Salad w/ Grilled Filet (Warm) (423g),680.0,35.0,26.0,48.0
Chick-fil-A,salad,Spicy Southwest Salad w/ No Chicken (339g),570.0,14.0,25.0,47.0
Chick-fil-A,salad,Market Salad (326g),550.0,28.0,42.0,31.0
Chick-fil-A,salad,Market Salad w/ Grilled Filet (Cold) (326g),550.0,28.0,42.0,31.0
Chick-fil-A,salad,Market Salad w/ Spicy Grilled Filet (Cold) (326g),540.0,26.0,42.0,31.0
Chick-fil-A,salad,Market Salad w/ Chick-fil-A Chick-n-Strips® (377g),750.0,36.0,57.0,43.0
Chick-fil-A,salad,Market Salad w/ Nuggets (354g),700.0,34.0,51.0,40.0
Chick-fil-A,salad,Market Salad w/ Grilled Nuggets (335g),570.0,32.0,41.0,32.0
Chick-fil-A,salad,Market Salad w/ Chick-fil-A® Filet (356g),690.0,31.0,53.0,41.0
Chick-fil-A,salad,Market Salad w/ Spicy Filet (361g),720.0,30.0,56.0,42.0
Chick-fil-A,salad,Market Salad w/ Grilled Filet (Warm) (325g),550.0,28.0,42.0,31.0
Chick-fil-A,salad,Market Salad w/ No Chicken (241g),440.0,7.0,40.0,29.0
Chick-fil-A,salad,Chick-fil-A Waffle Potato Fries® (125g),420.0,5.0,45.0,24.0
Chick-fil-A,sides,Small Chick-fil-A Waffle Potato Fries® (96g),320.0,4.0,35.0,19.0
Chick-fil-A,sides,Medium Chick-fil-A Waffle Potato Fries® (125g),420.0,5.0,45.0,24.0
Chick-fil-A,sides,Large Chick-fil-A Waffle Potato Fries® (179g),600.0,7.0,65.0,35.0
Chick-fil-A,sides,Fruit Cup (125g),70.0,1.0,16.0,0.0
Chick-fil-A,sides,Small Fruit Cup (107g),60.0,1.0,14.0,0.0
Chick-fil-A,sides,Medium Fruit Cup (125g),70.0,1.0,16.0,0.0
Chick-fil-A,sides,Large Fruit Cup (215g),120.0,1.0,28.0,0.0
Chick-fil-A,sides,Side Salad (166g),470.0,6.0,14.0,42.0
Chick-fil-A,sides,Mac & Cheese (227g),450.0,20.0,28.0,29.0
Chick-fil-A,sides,Small Mac & Cheese (136g),270.0,12.0,17.0,17.0
Chick-fil-A,sides,Medium Mac & Cheese (227g),450.0,20.0,28.0,29.0
Chick-fil-A,sides,Large Mac & Cheese (425g),840.0,38.0,53.0,53.0
Chick-fil-A,sides,Chicken Noodle Soup (233g),170.0,10.0,25.0,4.0
Chick-fil-A,sides,Cup of Chicken Noodle Soup (233g),170.0,10.0,25.0,4.0
Chick-fil-A,sides,Bowl of Chicken Noodle Soup (422g),280.0,17.0,38.0,6.0
Chick-fil-A,sides,Kale Crunch Side (112g),170.0,4.0,13.0,12.0
Chick-fil-A,sides,Berry Parfait (206g),270.0,13.0,35.0,9.0
Chick-fil-A,sides,Berry Parfait w/ Granola (206g),270.0,13.0,35.0,9.0
Chick-fil-A,sides,Berry Parfait w/ Cookie Crumbs (195g),240.0,12.0,31.0,8.0
Chick-fil-A,sides,Original Flavor Waffle Potato Chips (43g),220.0,3.0,25.0,13.0
Chick-fil-A,other,Buddy Fruits® Apple Sauce (90g),45.0,0.0,12.0,0.0
Chick-fil-A,other,5 Ct Nuggets Kid's Meal (71g),160.0,17.0,7.0,7.0
Chick-fil-A,other,5 ct Chick-fil-A® Nuggets (71g),160.0,17.0,7.0,7.0
Chick-fil-A,other,Kid's Meal Sides (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Meal Beverages (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Prize (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,2 Ct Chick-n-Strips® Kid's Meal (91g),200.0,19.0,11.0,9.0
Chick-fil-A,other,2 ct Chick-fil-A Chick-n-Strips® (91g),200.0,19.0,11.0,9.0
Chick-fil-A,other,Kid's Meal Sides (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Meal Beverages (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Prize (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,5 Ct Grilled Nuggets Kid's Meal (59g),80.0,16.0,1.0,2.0
Chick-fil-A,other,5 ct Grilled Nuggets (59g),80.0,16.0,1.0,2.0
Chick-fil-A,other,Kid's Meal Sides (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Meal Beverages (0g),0.0,0.0,0.0,0.0
Chick-fil-A,other,Prize (0g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Cherry Berry Frosted Lemonade (376g),370.0,7.0,71.0,7.0
Chick-fil-A,drink,Cherry Berry Frosted Lemonade (376g),370.0,7.0,71.0,7.0
Chick-fil-A,drink,Cherry Berry Frosted Diet Lemonade (376g),300.0,7.0,55.0,7.0
Chick-fil-A,drink,Frosted Lemonade (383g),350.0,7.0,67.0,7.0
Chick-fil-A,drink,Frosted Lemonade (383g),350.0,7.0,67.0,7.0
Chick-fil-A,drink,Frosted Lemonade w/ Diet Lemonade (383g),280.0,7.0,50.0,7.0
Chick-fil-A,drink,Frosted Coffee (374g),260.0,7.0,45.0,7.0
Chick-fil-A,treat,Chocolate Chunk Cookie (78g),370.0,5.0,49.0,17.0
Chick-fil-A,treat,Chocolate Chunk Cookie (78g),370.0,5.0,49.0,17.0
Chick-fil-A,treat,6 pack Chocolate Chunk Cookie (78g),370.0,5.0,49.0,17.0
Chick-fil-A,treat,Chocolate Fudge Brownie (85g),370.0,4.0,47.0,21.0
Chick-fil-A,treat,Cookies & Cream Milkshake (409g),630.0,13.0,91.0,25.0
Chick-fil-A,treat,Chocolate Milkshake (409g),600.0,12.0,93.0,22.0
Chick-fil-A,treat,Strawberry Milkshake (409g),560.0,10.0,92.0,18.0
Chick-fil-A,treat,Vanilla Milkshake (409g),580.0,13.0,82.0,23.0
Chick-fil-A,treat,Chick-fil-A® Icedream® Cone (135g),180.0,4.0,32.0,4.0
Chick-fil-A,treat,Chick-fil-A® Icedream® Cup (122g),140.0,4.0,24.0,3.5
Chick-fil-A,drink,Cherry Berry & Sprite® (683g),200.0,0.0,52.0,0.0
Chick-fil-A,drink,Cherry Berry Beverages (655g),230.0,0.0,58.0,0.0
Chick-fil-A,drink,"Cherry Berry Sunjoy® (Sweet Tea, Lemonade) (655g)",230.0,0.0,58.0,0.0
Chick-fil-A,drink,"Cherry Berry Sunjoy® (Sweet Tea, Diet Lemonade) (655g)",130.0,0.0,33.0,0.0
Chick-fil-A,drink,"Cherry Berry Sunjoy® (Unsweet Tea, Lemonade) (655g)",170.0,0.0,41.0,0.0
Chick-fil-A,drink,"Cherry Berry Sunjoy® (Unsweet Tea, Diet Lemonade) (655g)",70.0,0.0,16.0,0.0
Chick-fil-A,drink,Cherry Berry Lemonade (655g),260.0,0.0,66.0,0.0
Chick-fil-A,drink,Cherry Berry Diet Lemonade (655g),90.0,0.0,22.0,0.0
Chick-fil-A,drink,Cherry Berry Sweet Tea (655g),190.0,0.0,47.0,0.0
Chick-fil-A,drink,Cherry Berry Unsweet Tea (655g),40.0,0.0,9.0,0.0
Chick-fil-A,drink,Freshly-Brewed Iced Tea Sweetened (604g),120.0,0.0,31.0,0.0
Chick-fil-A,drink,Small Freshly-Brewed Iced Tea Sweetened (451g),90.0,0.0,22.0,0.0
Chick-fil-A,drink,Medium Freshly-Brewed Iced Tea Sweetened (604g),120.0,0.0,31.0,0.0
Chick-fil-A,drink,Large Freshly-Brewed Iced Tea Sweetened (893g),170.0,0.0,44.0,0.0
Chick-fil-A,drink,Freshly-Brewed Iced Tea Unsweetened (604g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Small Freshly-Brewed Iced Tea Unsweetened (451g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Medium Freshly-Brewed Iced Tea Unsweetened (604g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Large Freshly-Brewed Iced Tea Unsweetened (893g),0.0,0.0,0.0,0.0
Chick-fil-A,drink,Chick-fil-A® Lemonade (612g),260.0,0.0,66.0,0.0
Chick-fil-A,drink,Small Chick-fil-A® Lemonade (465g),190.0,0.0,49.0,0.0
Chick-fil-A,drink,Medium Chick-fil-A® Lemonade (612g),260.0,0.0,66.0,0.0
Chick-fil-A,drink,Large Chick-fil-A® Lemonade (916g),380.0,1.0,98.0,0.0
Chick-fil-A,drink,Chick-fil-A® Diet Lemonade (612g),60.0,0.0,15.0,0.0
Chick-fil-A,drink,Small Chick-fil-A® Diet Lemonade (465g),40.0,0.0,12.0,0.0
Chick-fil-A,drink,Medium Chick-fil-A® Diet Lemonade (612g),60.0,0.0,15.0,0.0
Chick-fil-A,drink,Large Chick-fil-A® Diet Lemonade (916g),80.0,0.0,23.0,0.0
